"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"15","BOYACÁ","15572","PUERTO BOYACÁ","28.51","43","309","215","206","197","22","65","56","68","38","2","8","5","3.16","14.99","21.99","13.68","4.24","6.35","17.95","47.29","53.7","87.19"
"15","BOYACÁ","15580","QUÍPAMA",,"3","27","15","10","6",,,"6",,"1",,,,,,,,,,,,,
"15","BOYACÁ","15681","SAN PABLO DE BORBUR",,"15","18.99","13","9","20","5","4","10",,"8",,,,,,,,,,,,,
"15","BOYACÁ","15696","SANTA SOFÍA",,,"1.26",,,,,,,,,,,,,,,,,,,,,
"15","BOYACÁ","15832","TUNUNGUÁ",,,,"1.08",,"4",,,,,,,,,,,,,,,,,,
"17","CALDAS","17433","MANZANARES",,,"0.81",,,,,,,,,,,,,,,,,,,,,
"17","CALDAS","17495","NORCASIA",,,"43","313","46","51","28","39","38","8","9","8",,,,,,,,,,,,
"17","CALDAS","17541","PENSILVANIA",,,,"1.11","7.46","14","7","12","2","7","7",,,,,,,,,,,,,
"17","CALDAS","17662","SAMANÁ",,,"9.9","41","132","380","21","136","127","30","30","8","8",,,,,,,,,,,
"17","CALDAS","17867","VICTORIA",,,,"2.97","4","16",,,,,,,,,,,,,,,,,,
"18","CAQUETÁ","18029","ALBANIA","180","125","122","698","149","106","61","10","12","7","7","2","7","18","32.5","53.64","63.28","61.92","30.07","37.21","58.23","94.09","123.89","129.33"
"18","CAQUETÁ","18094","BELÉN DE LOS ANDAQUÍES","40","64","135","112","157","132","30","185","63","79","193","89","85","92","132.03","147.2","201.43","303.88","110.22",,"13.27","120.5","95.73","92.99"
"18","CAQUETÁ","18150","CARTAGENA DEL CHAIRÁ","5930.52","3989","1990","1203","1836","1674","1916","1374","781","603","409","456","703","1050","948.62","1187.95","1369.17","1006.74","416.26","251.71","304.36","433.88","549.31","469.54"
"18","CAQUETÁ","18205","CURILLO","754.1","581","202","252","253","265","283","44","114","125","69","188","208","259","459.51","368.15","471.31","342.83","227.55","110.42","257.19","344.65","407.68","417.39"
"18","CAQUETÁ","18247","EL DONCELLO","41","3","22.05","13","52","52","84","102","143","55","70","101","68","233","303.46","552.76","454.95","413.36","23.37","12.43","50.03","31.03","21.62","16.65"
"18","CAQUETÁ","18256","EL PAUJIL","149","3","12.35","30","29","32","88","39","66","31","112","99","114","240","267.63","415.85","951.65","704.08","147.38","54.38","157","208.28","210.78","186.75"
"18","CAQUETÁ","18001","FLORENCIA",,"24","69","90","6","4","19","14","10","9","105","31","25","31","52.84","98.39","218.4","267.99","58.18","12.34","41.84","25.87","13.94","7.55"
"18","CAQUETÁ","18460","MILÁN","525.88","172","321","348","255","414","532","174","217","181","290","251","359","530","695.74","1040.24","1135.54","1226.44","461.07","252.34","283.48","497.06","526.54","340.07"
"18","CAQUETÁ","18410","MONTAÑITA","568.63","201","535","188","316","292","637","315","267","239","409","649","816","1335","1503.49","1743.71","2491.73","2989.69","822.86","461.97","694.79","956.38","1159.81","766.07"
"18","CAQUETÁ","18479","MORELIA","2","4","0.58","554","2","18","5","5","6","1","1","5","10",,"1.04",,"16.06","21.04","1.13",,,,,
"18","CAQUETÁ","18592","PUERTO RICO","118","246","384","279","91","143","191","458","429","148","316","219","207","354","415.94","545.83","1635.95","1454.45","224.31","12.93","44.84","65.61","45.21","22.6"
"18","CAQUETÁ","18610","SAN JOSÉ DEL FRAGUA","653.83","655","425","209","311","245","353","92","119","145","304","552","488","611","1083.85","1030.8","1414.45","1592.82","1409.84","430.64","781.94","1202.03","1208.15","1218.83"
"18","CAQUETÁ","18753","SAN VICENTE DEL CAGUÁN","1193.14","606","407","603","231","332","380","373","545","215","78","77","164","412","406.84","403.29","380.85","264.01","71.3","104.61","84.61","92.44","469.51","320.75"
"18","CAQUETÁ","18756","SOLANO","2039.85","1067","1146","516","1015","808","1253","992","743","567","842","876","933","1269","1285.05","1577.25","763.8","825.37","447.44","281.16","713.34","1168.69","1446.68","630.93"
"18","CAQUETÁ","18785","SOLITA","757.91","380","769","309","103","214","195","64","121","78","23","30","29","26","31.56","34.58","42.15","55.15","8.75","5.23","8.52","41.76","40.77",
"18","CAQUETÁ","18860","VALPARAÍSO","832.48","292","690","1094","182","236","291","62","123","95","99","69","106","82","92.37","143.47","182.53","231.95","51.73","27.57","175.16","331.7","270.38","97.56"
